formula,space_group,structure,id,formation_energy
AlAu2Pt,P4mm,"[{'data': {'a': [2.9646100199999997e-10, 0, 0], 'b': [0, 2.9646100199999997e-10, 0], 'c': [0, 0, 7.51200821e-10], 'atoms': [{'x': 1.4823050099999999e-10, 'y': 1.4823050099999999e-10, 'z': 5.517058237125653e-10, 'element': 'Al'}, {'x': 0, 'y': 0, 'z': -2.14081717173506e-11, 'element': 'Au'}, {'x': 1.4823050099999999e-10, 'y': 1.4823050099999999e-10, 'z': 1.9319677936400654e-10, 'element': 'Au'}, {'x': 0, 'y': 0, 'z': 4.0330680765278705e-10, 'element': 'Pt'}]}, 'natoms': 4, 'element': {'Au': 2, 'Pt': 1, 'Al': 1}}]",PN_JHW734KZZ5WG22JMHBYWRIXBGMRPKQGJ,"{'reference': {'Au': 'https://nomad-lab.eu/prod/rae/gui/entry/id/VIw_UIvgSh6gxyn98Y4wQg/obkWaha46SJyE2R6mKrpCv-Z4ZwG', 'Pt': 'https://nomad-lab.eu/prod/rae/gui/entry/id/68wFX7Q8S5SrqzKuJtOXRg/hfTXu5BPKf83TlYNvYL_xjc7wecf', 'Al': 'https://nomad-lab.eu/prod/rae/gui/entry/id/nX_oJtCvReKSQKlosaruaA/NwZCCfhy6KcjdrLfBEnERme_39m-'}, 'value_per_atom': -0.42203336489942966, 'value': -1.6881334595977187}"
BrIn2Mn,C2/m,"[{'data': {'a': [1.62203108e-10, 6.97979468e-10, 8.190538e-12], 'b': [-1.62203108e-10, 6.97979468e-10, 8.190538e-12], 'c': [0, 1.3959504599999998e-10, 4.48614058e-10], 'atoms': [{'x': 0, 'y': 3.838884955e-10, 'z': 1.1624878350000001e-10, 'element': 'Br'}, {'x': 4.405461510396058e-28, 'y': 2.1470448528196686e-10, 'z': 4.2670085076241407e-10, 'element': 'In'}, {'x': 2.9359843208484116e-27, 'y': 6.926675517180331e-10, 'z': 2.5441077423758597e-10, 'element': 'In'}, {'x': -6.462348535570529e-27, 'y': 1.1516654865e-09, 'z': 3.487463505e-10, 'element': 'Mn'}]}, 'natoms': 4, 'element': {'Br': 1, 'Mn': 1, 'In': 2}}]",PN_EO6LB3H3LV2J7JBUO5NA7FMPOZ4XTXPO,"{'reference': {'Br': 'https://nomad-lab.eu/prod/rae/gui/entry/id/HQMYKHP6Soitf8Zcgmf6SQ/7DmDJRePJNTiaaJiAv-YuiT0_OyO', 'Mn': 'https://nomad-lab.eu/prod/rae/gui/entry/id/287sI9_oSguef6cQl5_HXg/8IffBWYWeF2VvGN-TtippJCbAlST', 'In': 'https://nomad-lab.eu/prod/rae/gui/entry/id/Zqtd881RT5CfgKZ3B6_mTg/jidMzp8f26ns8Jif2fj8Gy8eG6id'}, 'value_per_atom': 0.07293490442920714, 'value': 0.29173961771682855}"
Ge2SbSr,P4/mmm,"[{'data': {'a': [3.96645785e-10, 0, 0], 'b': [0, 3.96645785e-10, 0], 'c': [0, 0, 6.60342302e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 3.663898036827866e-11, 'element': 'Ge'}, {'x': 0, 'y': 0, 'z': 2.9353217063172137e-10, 'element': 'Ge'}, {'x': 1.983228925e-10, 'y': 1.983228925e-10, 'z': 1.650855755e-10, 'element': 'Sb'}, {'x': 1.983228925e-10, 'y': 1.983228925e-10, 'z': 4.952567265e-10, 'element': 'Sr'}]}, 'natoms': 4, 'element': {'Ge': 2, 'Sr': 1, 'Sb': 1}}]",PN_NSTLYKYE7HYUCMZG7S7NVKJ327K4Q6GG,"{'reference': {'Ge': 'https://nomad-lab.eu/prod/rae/gui/entry/id/ANn_TqXdRYm4bpJCvHC9sg/2eVSxv5n6du3VVsS6uZHLFviKxDn', 'Sr': 'https://nomad-lab.eu/prod/rae/gui/entry/id/CPX8DdIcSHGs-SRkG5ebRQ/9CyQcCUbCgpVbqUi9LKvMkTBuex3', 'Sb': 'https://nomad-lab.eu/prod/rae/gui/entry/id/WMu7V8unTIq_ZADrznasag/e0MYdRBQr9wEXHzKsLol9DZ8gMvs'}, 'value_per_atom': -0.21169686969559587, 'value': -0.8467874787823835}"
BrPd2Rh,P4/mmm,"[{'data': {'a': [3.09528544e-10, 0, 0], 'b': [0, 3.19385758e-10, 0], 'c': [0, 0, 6.95588127e-10], 'atoms': [{'x': 1.54764272e-10, 'y': 1.59692879e-10, 'z': 5.216910952499999e-10, 'element': 'Br'}, {'x': 0, 'y': 0, 'z': 1.79174458869549e-11, 'element': 'Pd'}, {'x': 0, 'y': 0, 'z': 3.2987661761304507e-10, 'element': 'Pd'}, {'x': 1.54764272e-10, 'y': 1.59692879e-10, 'z': 1.7389703175e-10, 'element': 'Rh'}]}, 'natoms': 4, 'element': {'Br': 1, 'Pd': 2, 'Rh': 1}}]",PN_BGEOYAZPI3PYMK2G75OSDXUD2OTECN5E,"{'reference': {'Br': 'https://nomad-lab.eu/prod/rae/gui/entry/id/HQMYKHP6Soitf8Zcgmf6SQ/7DmDJRePJNTiaaJiAv-YuiT0_OyO', 'Pd': 'https://nomad-lab.eu/prod/rae/gui/entry/id/eWp7nSoCThCvuNshTV7OvQ/B_YsxQ9yjPSLQPBbgi6ptP2Q1A64', 'Rh': 'https://nomad-lab.eu/prod/rae/gui/entry/id/7IQEcowSTDaJcMTtCigTSQ/7pAP54pzEP8-EwENC3ty75erNef2'}, 'value_per_atom': 0.300311044090237, 'value': 1.201244176360948}"
Ba2IrRh,P4mm,"[{'data': {'a': [3.6831158300000003e-10, 0, 0], 'b': [0, 3.68846235e-10, 0], 'c': [0, 0, 9.299690269999999e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 8.41426713138091e-10, 'element': 'Ba'}, {'x': 1.8415579150000002e-10, 'y': 1.844231175e-10, 'z': 3.2249634242699885e-10, 'element': 'Ba'}, {'x': 0, 'y': 0, 'z': 5.509489439193746e-10, 'element': 'Ir'}, {'x': 1.8415579150000002e-10, 'y': 1.844231175e-10, 'z': 6.100505587158451e-10, 'element': 'Rh'}]}, 'natoms': 4, 'element': {'Rh': 1, 'Ir': 1, 'Ba': 2}}]",PN_YROUBFGOXQEP5Y5L5NIPVMLVTWYKELLC,"{'reference': {'Rh': 'https://nomad-lab.eu/prod/rae/gui/entry/id/7IQEcowSTDaJcMTtCigTSQ/7pAP54pzEP8-EwENC3ty75erNef2', 'Ir': 'https://nomad-lab.eu/prod/rae/gui/entry/id/R5T_c-b5R-aSPQN6iXJv2A/Jxd3Gq7w7vgx3vAf4QaOcIUrNIvf', 'Ba': 'https://nomad-lab.eu/prod/rae/gui/entry/id/tX6mKyN2Q0ahPatA8GfBWw/Lj0gGgNhl0ZMZK5-5xnXiYpf0ut5'}, 'value_per_atom': 0.19405744737696207, 'value': 0.7762297895078483}"
AgCuPd2,P4mm,"[{'data': {'a': [2.8138463e-10, 0, 0], 'b': [0, 2.8138463e-10, 0], 'c': [0, 0, 7.661262520000001e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 3.9404268051023753e-10, 'element': 'Ag'}, {'x': 1.40692315e-10, 'y': 1.40692315e-10, 'z': 5.814693620358092e-10, 'element': 'Cu'}, {'x': 0, 'y': 0, 'z': 7.533017428947462e-10, 'element': 'Pd'}, {'x': 1.40692315e-10, 'y': 1.40692315e-10, 'z': 1.8650184455920724e-10, 'element': 'Pd'}]}, 'natoms': 4, 'element': {'Cu': 1, 'Pd': 2, 'Ag': 1}}]",PN_OSWTYCXSRKYSAPMRIYCISPQ2SRJHPVKF,"{'reference': {'Cu': 'https://nomad-lab.eu/prod/rae/gui/entry/id/CPX8DdIcSHGs-SRkG5ebRQ/uVTSZjDVQgSURDhx2j8aTT9Zvd6S', 'Pd': 'https://nomad-lab.eu/prod/rae/gui/entry/id/eWp7nSoCThCvuNshTV7OvQ/B_YsxQ9yjPSLQPBbgi6ptP2Q1A64', 'Ag': 'https://nomad-lab.eu/prod/rae/gui/entry/id/fnHejGdhTuiWS0VNpjH8pA/S0g-iXGYSO3a4JeEbuX_IWUqOBUr'}, 'value_per_atom': -0.04404791681389142, 'value': -0.17619166725556568}"
AgMoNa2,P4/mmm,"[{'data': {'a': [2.74009588e-10, 0, 0], 'b': [0, 2.74009588e-10, 0], 'c': [0, 0, 1.040937186e-09], 'atoms': [{'x': 1.37004794e-10, 'y': 1.37004794e-10, 'z': 2.602342965e-10, 'element': 'Ag'}, {'x': 1.37004794e-10, 'y': 1.37004794e-10, 'z': 7.807028895e-10, 'element': 'Mo'}, {'x': 0, 'y': 0, 'z': 5.58225466610592e-12, 'element': 'Na'}, {'x': 0, 'y': 0, 'z': 5.148863383338942e-10, 'element': 'Na'}]}, 'natoms': 4, 'element': {'Mo': 1, 'Na': 2, 'Ag': 1}}]",PN_355TJ625QYBWMDNQZLFWAT3URTDTHIVS,"{'reference': {'Mo': 'https://nomad-lab.eu/prod/rae/gui/entry/id/miRFVZUUSvmc1uMMJkU4LA/TwiQxc0usHCKW3MtmHjbnh8mT5GC', 'Na': 'https://nomad-lab.eu/prod/rae/gui/entry/id/ANn_TqXdRYm4bpJCvHC9sg/fZBjCAvL-C0KpykVeDkglk4DiMJE', 'Ag': 'https://nomad-lab.eu/prod/rae/gui/entry/id/fnHejGdhTuiWS0VNpjH8pA/S0g-iXGYSO3a4JeEbuX_IWUqOBUr'}, 'value_per_atom': 0.5624103478746072, 'value': 2.249641391498429}"
GaNb2Ni,P4mm,"[{'data': {'a': [2.8121007100000005e-10, 0, 0], 'b': [0, 2.8121007100000005e-10, 0], 'c': [0, 0, 7.718236840000001e-10], 'atoms': [{'x': 1.4060503550000003e-10, 'y': 1.4060503550000003e-10, 'z': 5.52724026335447e-10, 'element': 'Ga'}, {'x': 0, 'y': 0, 'z': 7.535126456277842e-10, 'element': 'Nb'}, {'x': 1.4060503550000003e-10, 'y': 1.4060503550000003e-10, 'z': 2.1950704935967886e-10, 'element': 'Nb'}, {'x': 0, 'y': 0, 'z': 4.0381548867709023e-10, 'element': 'Ni'}]}, 'natoms': 4, 'element': {'Nb': 2, 'Ga': 1, 'Ni': 1}}]",PN_F35SJGYYRI6OZOC64CW67WJIQ5EPSQQ7,"{'reference': {'Nb': 'https://nomad-lab.eu/prod/rae/gui/entry/id/FsjvRjUORt2wbpq8ej5bOA/861X4hlRjiSg-bvBzuNmZtnnHOYr', 'Ga': 'https://nomad-lab.eu/prod/rae/gui/entry/id/7v_xfwA8SXar--QHXNyP3w/vRXRCHTc1BwC0KVL2zTyDtxvDQO7', 'Ni': 'https://nomad-lab.eu/prod/rae/gui/entry/id/q7lAKuoOTPWL1mJ5gkMDhg/2z6qKgNMlPjxK4R1fKqhhgll26lp'}, 'value_per_atom': -0.21548946485348974, 'value': -0.861957859413959}"
Al2AuP,P4mm,"[{'data': {'a': [3.6104394000000005e-10, 0, 0], 'b': [0, 3.61206652e-10, 0], 'c': [0, 0, 5.45298971e-10], 'atoms': [{'x': 0, 'y': 0, 'z': -5.484599600750928e-11, 'element': 'Al'}, {'x': 1.8052197000000003e-10, 'y': 1.80603326e-10, 'z': 1.7672744308356023e-10, 'element': 'Al'}, {'x': 0, 'y': 0, 'z': 2.1936743965925697e-10, 'element': 'Au'}, {'x': 1.8052197000000003e-10, 'y': 1.80603326e-10, 'z': 4.766995643117023e-10, 'element': 'P'}]}, 'natoms': 4, 'element': {'P': 1, 'Au': 1, 'Al': 2}}]",PN_CXHGFNRK34D747DAYZW5LVAPUKHDYB2M,"{'reference': {'P': 'https://nomad-lab.eu/prod/rae/gui/entry/id/SwEGZUqCTPyNJvGH3CWDPQ/VliAGY_Z2yfFnSNW4d80E-Y7rLrP', 'Au': 'https://nomad-lab.eu/prod/rae/gui/entry/id/VIw_UIvgSh6gxyn98Y4wQg/obkWaha46SJyE2R6mKrpCv-Z4ZwG', 'Al': 'https://nomad-lab.eu/prod/rae/gui/entry/id/nX_oJtCvReKSQKlosaruaA/NwZCCfhy6KcjdrLfBEnERme_39m-'}, 'value_per_atom': -0.2578295911017774, 'value': -1.0313183644071096}"
Al2AuSr,P4mm,"[{'data': {'a': [3.45777577e-10, 0, 0], 'b': [0, 3.45777577e-10, 0], 'c': [0, 0, 7.49463431e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 4.438610232339504e-11, 'element': 'Al'}, {'x': 1.728887885e-10, 'y': 1.728887885e-10, 'z': 2.013689973767588e-10, 'element': 'Al'}, {'x': 0, 'y': 0, 'z': 3.235495312467372e-10, 'element': 'Au'}, {'x': 1.728887885e-10, 'y': 1.728887885e-10, 'z': 5.548905155531091e-10, 'element': 'Sr'}]}, 'natoms': 4, 'element': {'Au': 1, 'Al': 2, 'Sr': 1}}]",PN_P2422KV2VYM64Y6GBLHRE2DCNJGXE3K5,"{'reference': {'Au': 'https://nomad-lab.eu/prod/rae/gui/entry/id/VIw_UIvgSh6gxyn98Y4wQg/obkWaha46SJyE2R6mKrpCv-Z4ZwG', 'Al': 'https://nomad-lab.eu/prod/rae/gui/entry/id/nX_oJtCvReKSQKlosaruaA/NwZCCfhy6KcjdrLfBEnERme_39m-', 'Sr': 'https://nomad-lab.eu/prod/rae/gui/entry/id/CPX8DdIcSHGs-SRkG5ebRQ/9CyQcCUbCgpVbqUi9LKvMkTBuex3'}, 'value_per_atom': -0.2768150511596059, 'value': -1.1072602046384237}"
